Indicator,State,Value
Health Insurance Coverage (%),Jharkhand,50.3
Health Insurance Coverage (%),India,41.0
Health Insurance Coverage (%),Bihar,14.6
Health Insurance Coverage (%),Chhattisgarh,71.4
Health Insurance Coverage (%),Odisha,47.9
Women with Bank Account (%),Jharkhand,79.6
Women with Bank Account (%),India,78.6
Women with Bank Account (%),Bihar,76.7
Women with Bank Account (%),Chhattisgarh,80.3
Women with Bank Account (%),Odisha,86.5
Women with Mobile Phone (%),Jharkhand,49.0
Women with Mobile Phone (%),India,54.0
Women with Mobile Phone (%),Bihar,51.4
Women with Mobile Phone (%),Chhattisgarh,40.7
Women with Mobile Phone (%),Odisha,50.1
Women using Internet (%),Jharkhand,31.4
Women using Internet (%),India,33.3
Women using Internet (%),Bihar,20.6
Women using Internet (%),Chhattisgarh,26.7
Women using Internet (%),Odisha,24.9
Men using Internet (%),Jharkhand,58.0
Men using Internet (%),India,57.1
Men using Internet (%),Bihar,43.6
Men using Internet (%),Chhattisgarh,56.3
Men using Internet (%),Odisha,50.7
